group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
exit_arg,,,,,1092513.0,ns,9395
exit_arg,,,,,1898064.0,ns,18790
exit_arg,,,,,3813230.0,ns,28185
exit_arg,,,,,4722640.0,ns,37580
exit_arg,,,,,5385321.0,ns,46975
exit_arg,,,,,5869522.0,ns,56370
exit_arg,,,,,6837768.0,ns,65765
exit_arg,,,,,7829900.0,ns,75160
exit_arg,,,,,8852572.0,ns,84555
exit_arg,,,,,9660312.0,ns,93950
exit_arg,,,,,10816282.0,ns,103345
exit_arg,,,,,11812690.0,ns,112740
exit_arg,,,,,12626135.0,ns,122135
exit_arg,,,,,13527945.0,ns,131530
exit_arg,,,,,14497053.0,ns,140925
exit_arg,,,,,15599816.0,ns,150320
exit_arg,,,,,16340076.0,ns,159715
exit_arg,,,,,17508499.0,ns,169110
exit_arg,,,,,18553400.0,ns,178505
exit_arg,,,,,19288734.0,ns,187900
exit_arg,,,,,21068420.0,ns,197295
exit_arg,,,,,21555386.0,ns,206690
exit_arg,,,,,22445806.0,ns,216085
exit_arg,,,,,23957412.0,ns,225480
exit_arg,,,,,24339958.0,ns,234875
exit_arg,,,,,24935844.0,ns,244270
exit_arg,,,,,26221025.0,ns,253665
exit_arg,,,,,27285007.0,ns,263060
exit_arg,,,,,29662713.0,ns,272455
exit_arg,,,,,29391186.0,ns,281850
exit_arg,,,,,30222568.0,ns,291245
exit_arg,,,,,31583413.0,ns,300640
exit_arg,,,,,31867172.0,ns,310035
exit_arg,,,,,33576317.0,ns,319430
exit_arg,,,,,33874423.0,ns,328825
exit_arg,,,,,34873816.0,ns,338220
exit_arg,,,,,36251252.0,ns,347615
exit_arg,,,,,36996083.0,ns,357010
exit_arg,,,,,37696603.0,ns,366405
exit_arg,,,,,39078890.0,ns,375800
exit_arg,,,,,39904037.0,ns,385195
exit_arg,,,,,41118965.0,ns,394590
exit_arg,,,,,43644146.0,ns,403985
exit_arg,,,,,43515440.0,ns,413380
exit_arg,,,,,45052585.0,ns,422775
exit_arg,,,,,44604748.0,ns,432170
exit_arg,,,,,45839160.0,ns,441565
exit_arg,,,,,46562700.0,ns,450960
exit_arg,,,,,48023209.0,ns,460355
exit_arg,,,,,49127421.0,ns,469750
exit_arg,,,,,50471246.0,ns,479145
exit_arg,,,,,50594299.0,ns,488540
exit_arg,,,,,51865637.0,ns,497935
exit_arg,,,,,54304020.0,ns,507330
exit_arg,,,,,53721995.0,ns,516725
exit_arg,,,,,55217487.0,ns,526120
exit_arg,,,,,56113495.0,ns,535515
exit_arg,,,,,56991121.0,ns,544910
exit_arg,,,,,57766890.0,ns,554305
exit_arg,,,,,58925265.0,ns,563700
exit_arg,,,,,59478606.0,ns,573095
exit_arg,,,,,60589321.0,ns,582490
exit_arg,,,,,63826770.0,ns,591885
exit_arg,,,,,62511850.0,ns,601280
exit_arg,,,,,63821973.0,ns,610675
exit_arg,,,,,65762344.0,ns,620070
exit_arg,,,,,65625500.0,ns,629465
exit_arg,,,,,66952067.0,ns,638860
exit_arg,,,,,68085001.0,ns,648255
exit_arg,,,,,70591204.0,ns,657650
exit_arg,,,,,69253714.0,ns,667045
exit_arg,,,,,70237662.0,ns,676440
exit_arg,,,,,70987134.0,ns,685835
exit_arg,,,,,71974803.0,ns,695230
exit_arg,,,,,74163496.0,ns,704625
exit_arg,,,,,74800141.0,ns,714020
exit_arg,,,,,77465796.0,ns,723415
exit_arg,,,,,76750564.0,ns,732810
exit_arg,,,,,77039709.0,ns,742205
exit_arg,,,,,78101018.0,ns,751600
exit_arg,,,,,79065992.0,ns,760995
exit_arg,,,,,80406424.0,ns,770390
exit_arg,,,,,81721637.0,ns,779785
exit_arg,,,,,82887163.0,ns,789180
exit_arg,,,,,82648427.0,ns,798575
exit_arg,,,,,83619994.0,ns,807970
exit_arg,,,,,84459398.0,ns,817365
exit_arg,,,,,87224791.0,ns,826760
exit_arg,,,,,89226803.0,ns,836155
exit_arg,,,,,87493284.0,ns,845550
exit_arg,,,,,89626534.0,ns,854945
exit_arg,,,,,88847383.0,ns,864340
exit_arg,,,,,90576634.0,ns,873735
exit_arg,,,,,95442972.0,ns,883130
exit_arg,,,,,94673062.0,ns,892525
exit_arg,,,,,93175271.0,ns,901920
exit_arg,,,,,93966944.0,ns,911315
exit_arg,,,,,94954907.0,ns,920710
exit_arg,,,,,96236836.0,ns,930105
exit_arg,,,,,99559101.0,ns,939500
